	news_title	label
0	Atiku Abubakar Ya Kada Kuri'arsa A Jimeta A Jihar Adamawa	Politics
1	Kimanin mata dubu hamsin da biyar suke mutuwa a shekara lokacin haihuwa a Najeriya	World
2	Afghanistan: Masu Fashin Baki Sun Nuna Shakku Kan Yiwuwar Kulla Yarjejeniya	World
3	Gwamnatin Kaduna Ta Gindaya Sharuddan Jinyar El-Zakzaky	Nigeria
4	An Fara Yi Wa Jami’an Tsaron Najeriya Binciken Kwakwalwa	World
5	Amurka ta saka Koriya ta Arewa cikin kasashen dake taimakawa ta'addanci	Nigeria
6	Sinadarin Vitamin C Na Cikin Dillalen Kashe Tarin Fuka	Nigeria
7	Ana kara samun yara dauke da cutar shan inna a Najeriya	Health
8	Mai Yiwuwa Shugaban ISIS Na Da Rai	Africa
9	An Bullo da Wani Shiri na Talafawa Mata Masu Juna Biyu a Jihar Bauchi	World
10	Kamfanin Pfizer Ya Fara Biyan Diyya A Kano	Nigeria
11	Gwamnatin Tarayya taci alwashin shawo kan yaduwar zazzabin lassa	Nigeria
12	Hukumar Zaben Nigeria Ta Kara Wa'adin Yin Rajista Zuwa Karshen Wata	Politics
13	Kisan Wani Matashi ya Janyo Takaddama da 'Yan Kwastam a Nijer	World
14	Masanan Lafiya Sun Shawarci ‘Yan Nigeriya Su Yi gwajin Ciwon Suga Lokaci Lokaci	Nigeria
15	Hira da Dr. Sambo Sadiku Kan Raguwar Mutuwar Kananan Yara a Nijar Kashi na Daya	Africa
16	Gwamna Rotimi Amaechi Zai Gana Da Bill Gates	Politics
17	Matsalar Sufuri a Babban Birnin Tarayya Abuja	World
18	An Kai Hari A Wata Makarantar Mata A Jihar Zamfara	Nigeria
19	Buhari Ya Bayyana Makudan Kudaden Da Ake Sacewa Kasashen Afirka	Nigeria
20	Gobe Lahadi za a fara taron yaki da cutar kanjamau na kasa da kasa a birnin Washinton	Health
21	Ganduje Na Neman Ja'afar Ya Biya Shi Diyyar Biliyan 3	Nigeria
22	Kotu Ta Amince INEC Ta Ba Atiku Damar Duba Takardun Zabe	Politics
23	Nijar: An Kammala Taron Tsoffin Shugabannin Afirka	Africa
24	VOA Ta Kaddamar da Sabon Bidiyo Akan Illar Ta’addancin Boko Haram A Arewa Maso Gabashin Najeriya	Nigeria
25	Sai An Tashi Tsaye Wajen Yakar Ta'addanci A Kasashen Afrika	World
26	Rikicin Tiv-Jukun Na Damu Na – Buhari	Nigeria
27	Mata Masu Zaman Kan Su A Abuja Sun Zargi 'Yan Sanda Da Yi Mu Su Fyade	World
28	Yar Najeriya Na 'Daya Daga Cikin Mata Hudu Da Aka Karrama a Duniya	World
29	An Baiwa Gwamnatin Kano Shawarar Dakatar Da Sarki Sanusi Lamido Sanusi	Nigeria
30	Buhari Ya Yi Magana Da Mahaifiyar Leah Sharibu Karon Farko	Nigeria
31	Boris Johnson: Ya Zamo Sabon Shugaban Jam'iyyar Mazan Jiya	Africa
32	Manyan Malaman Islama Na Najeriya Sun Bayyana Goyon Baya Ga Yaki Da Polio	World
33	Ministan Harkokin Noman Najeriya Ya Koka Akan Ingancin Irin Shuka a Najeriya	Nigeria
34	Simon Lalong Ya Yi Alkawarin Kawo Sauyi A Jihar Filato	Politics
35	An Kafa Kotu Ta Musamman Da Za Ta Binciki Jami'an Soji 21	World
36	Karin Bayanin Kafa Dokar Hana Fita a Gombe	World
37	Gwamnan Jihar Filato Ya Bayar Da Tabbacin Lashe Zaben Jihar	Politics
38	Masanan Lafiya Sun Kiyaye Ranar Cutar Ciwon Hakarkari ta Duniya	Health
39	Hukumar DPR Ta Rufe Wasu Gidajen Mai Na Bugi	Nigeria
40	An Sake Jan Damarar Yaki Da Polio A Jihar Bauchi	World
41	An Rabama Sama da Mutane Miliyan Biyu Ragar Gidan Sauro a Jihar Naija	World
42	Dole A Ba Kananan Hukumomi Kudaden Su Kai Tsaye	World
43	Shin Muhawarar 'Yan takara Na Yin Tasiri a Siyasar Najeriya?	Nigeria
44	Shugaban Amurka Na Shirin Kiran Iyalan Sojojin da Aka Kashe a Nijar	Africa
45	An Gudanar Da taron Tunkarar Sauyin Yanayi A Yamai, Nijer	World
46	Kada Ku Yarda Ku Shiga Bangar Siyasa: Amina Titi Atiku Abubakar	Politics
47	Wani Tsohon Maganin Maleriya Da Aka So Daina Amfani Da Shi Ya Sake Samun Farin Jini	World
48	Zamfara Na Samun Koma Baya A Sulhunta Da ‘Yan Bindiga	World
49	An Ceto Bakin Haure 211 Daga Tekun Libya	World
50	Matasan Arewa Sun Yi Tir Da Matakan Hukumomin Lagos Da Rivers	World
51	Yan Keke Napepe Sun Fara Yajin Aikin Gama-gari A Jihar Adamawa	World
52	Taliban Sun Hallaka Dakarun Afghanistan 40	World
53	Jami’an Tsaron Farin Kaya Na Tantance Sakon Sautin Leah Sharibu	World
54	Kwararru sun bayyana damuwa game da sabon maganin yaki da cutar kanjamau	Health
55	An Tilasta Wa Mazauna Gabar Kogin Binuwai Barin Gidajen Su	World
56	Malaman Makarantun Gaba Da Sakandare Sun Shiga Yajin Aiki A Jihar Naija	World
57	Majalisar Dattijan Najeriya ta amince da dokar zabe	Africa
58	Al'ummar Kasar Yigoslabiya Zasu Kada Kuri'ar Raba Gardama	World
59	Shin Matsalar Da Kudin Lira Na Turkiyya Ke Fuskanta Za Ta Iya Shafar Naira?	World
60	Daliban Jami'o'in Najeriya Sun Koka Kan Yajin Aikin Malamai	World
61	Wasu 'Yan Gudun Hijira Sun Samu Taimako A Taraba	World
62	Wasu Jiragen Ruwa Biyu Sun Kone A Kogin Oman	World
63	Al'umar Mozambique Na Fuskantar Barazanar Matsananciyar Yunwa	Nigeria
64	Sikari Ke Kawo Ciwon Zuciya, Ba Man Kitse Ba	Nigeria
65	Yara Miliyan 230 Basu Taba Samun Rejistar Haihuwa Ba	Health
66	Fursunoni 40 Suka Halaka A Fadacefadacen Da Barke A Kasar Brazil	World
67	Asusun yaki da kanjamau, zazzabin cizon sauro da tarin fuka ya sami tallafi	Health
