#FreeAmade	O
:	O
Akọ̀ròyìn	O
tí	O
a	O
mú	O
tí	O
a	O
sì	O
dá	O
lóró	O
lẹ́yìn	O
tí	O
ó	O
kọ	O
ìròyìn	O
lórí	O
ìwà	O
jàgídí	O
jàgan	O
tí	O
ó	O
ń	O
ṣẹlẹ̀	O
ní	O
Àríwá	O
Mozambique	B-LOC
	
Àtẹ̀jáde	O
ìtúmọ̀	O
19	B-DATE
Èrèlé	O
2019	B-DATE
12:39	I-DATE
GMT	O
	
Àwọn	O
ẹni-orí-kó-yọ	O
tí	O
wọ́n	O
pàdánù	O
ẹbí	O
àti	O
ilé	O
ń	O
sinmi	O
níta	O
gbangba	O
lẹ́yìn	O
ìkọlù	O
ọjọ́	B-DATE
5	I-DATE
oṣù	I-DATE
Òkúdù	I-DATE
ní	O
abúlé	O
Naunde	O
ní	O
Cabo	B-LOC
Delgado	B-PER
nílùú	O
Mozambique	B-LOC
.	O
	
Àwòrán	O
láti	O
ọwọ́	O
Borges	B-ORG
Nhamira	O
pẹ̀lú	O
àṣẹ	O
ìlò	O
.	O
	
Wọ́n	O
mú	O
akọ̀ròyìn	O
Mozambique	B-LOC
kan	O
ní	O
ọjọ́	B-DATE
5	I-DATE
oṣù	I-DATE
Ṣẹẹrẹ	I-DATE
níbi	O
tí	O
ó	O
ti	O
ń	O
jábọ̀	O
ìròyìn	O
nípa	O
ìkọlù	O
tí	O
ó	O
ń	O
dé	O
bá	O
àwọn	O
abúlé	O
kéréje	O
ní	O
ìgbèríko	O
Cabo	B-LOC
Delgado	B-PER
ní	O
Mozambique	B-LOC
.	O
	
Cabo	B-LOC
Delgado	B-PER
wà	O
ní	O
àríwá	O
orílè-èdè	O
Mozambique	B-LOC
,	O
ó	O
kún	O
fún	O
àwọn	O
ohun	O
àlùmọ́nì	O
bí	O
i	O
òkúta	O
iyebíye	O
,	O
èédú	O
àti	O
afẹ́fẹ́	O
gáàsì	O
tí	O
wọ́n	O
rí	O
ní	O
Rovuma	O
,	O
ilẹ	O
tí	O
omí	O
yí	O
ká	O
.	O
	
Àwọn	O
olùkíyèsí	O
sọ	O
pé	O
ẹgbẹ́	O
tí	O
ó	O
ń	O
darí	O
ìkọlù	O
yìí	O
ní	O
i	O
lọ́kàn	O
láti	O
máa	O
jí	O
àwọn	O
ohun	O
àlùmọ́nì	O
yìí	O
kó	O
.	O
	
Láti	O
oṣù	B-DATE
Ọ̀wàrà	I-DATE
2017	I-DATE
,	O
àìmọye	O
ìkọlù	O
ni	O
ó	O
ti	O
wáyé	O
ní	O
oríṣiríṣìí	O
ìgbèríko	O
ní	O
Cabo	B-LOC
Delgado	B-PER
láti	O
ọwọ́	O
àwọn	O
ẹgbẹ́	O
jàndùkú	O
kan	O
náà	O
.	O
	
Ọ̀pọ̀lọpọ̀	O
àwọn	O
iléeṣẹ́	O
ìròyìn	O
ni	O
wọ́n	O
ti	O
jábọ̀	O
lórí	O
àwọn	O
ìkọlù	O
yìí	O
ṣùgbọ́n	O
kò	O
tilẹ̀	O
wu	O
àwọn	O
ìjọba	O
láti	O
sọ̀rọ̀	O
lé	O
e	O
tàbí	O
kí	O
wọ́n	O
fi	O
ìdí	O
àrídájú	O
ẹ̀rí	O
múlẹ̀	O
nínú	O
àwọn	O
ọ̀rọ̀	O
yìí	O
.	O
	
Ní	O
2018	B-DATE
,	O
èèyàn	O
tó	O
lé	O
lọ́gọ́rùn-ún	O
ni	O
wọ́n	O
bá	O
ṣẹjọ́	O
lórí	O
àwọn	O
ọ̀ràn	O
yìí	O
.	O
	
Ó	O
yẹ	O
kí	O
ẹjọ́ọ	O
wọn	O
ó	O
parí	O
lọ́dún	B-DATE
yìí	I-DATE
.	O
	
#FreeAmade	O
:	O
Ìpolongo	O
láti	O
gba	O
Akọ̀ròyìn	O
Mozambique	B-LOC
sílẹ̀	O
	
Amade	O
Abubacar	O
ń	O
ṣiṣẹ́	O
pẹ̀lú	O
Mozambican	O
Social	O
Communication	B-ORG
Institute	O
,	O
ó	O
sì	O
ń	O
ṣiṣẹ́	O
gẹ́gẹ́	O
bí	O
akọ̀ròyìn	O
pẹ̀lú	O
ibùdó	O
ìròyìn	O
orí	O
ayélujára	O
Zitamar	O
àti	O
iléeṣẹ́	O
ìgbóhùnsáfẹ́fẹ́	O
ìbílẹ̀	O
Nacedje	O
.	O
	
Àwọn	O
ọlọ́pàá	O
ìjọba	O
àpapọ̀	O
Mozambique	B-LOC
mú	O
akọ̀ròyìn	O
náà	O
ní	O
ọjọ́	B-DATE
5	I-DATE
níbi	O
tí	O
ó	O
ti	O
ń	O
ya	O
àwòrán	O
àwọn	O
ẹni-orí-kó-yọ	O
nínú	O
ìkọlù	O
kan	O
ní	O
Cabo	B-LOC
Delgado	B-PER
,	O
wọ́n	O
sì	O
tì	O
í	O
mọ́lé	O
.	O
	
Lẹ́yìn	O
náà	O
,	O
wọ́n	O
mú	O
Amade	O
lọ	O
sí	O
ibùdó	O
àwọn	O
ológun	O
Mozambique	B-LOC
ní	O
ìgbèríko	O
Mueda	B-LOC
láìjẹ́	O
ọmọ	O
ẹgbẹ́	O
ológun	O
.	O
	
Lẹ́yìn	O
ọ̀sẹ̀	B-DATE
díẹ̀	I-DATE
,	O
wọ́n	O
gbé	O
e	O
lọ	O
sí	O
ẹ̀wọ̀n	O
gbogboògbò	O
láti	O
mú	O
kí	O
àtìmọ́lé	O
rẹ̀	O
bá	O
òfin	O
mu	O
ní	O
Pemba	B-LOC
,	O
olú	O
ìlú	O
Cabo	B-LOC
Delgado	B-PER
.	O
	
Lẹ́yìn	O
tí	O
ó	O
dé	O
ẹ̀wọ̀n	O
gbogboògbò	O
,	O
Amade	O
pe	O
ẹgbẹ́	O
àwọn	O
agbẹjọ́rò	O
Mozambique	B-LOC
tí	O
ó	O
sì	O
sọ	O
bí	O
ó	O
ṣe	O
ti	O
jìyà	O
tó	O
lọ́wọ́	O
àwọn	O
ológun	O
Mozambique	B-LOC
tí	O
ó	O
ní	O
wọ́n	O
na	O
òun	O
tí	O
wọ́n	O
sì	O
fi	O
ebi	O
pa	O
òun	O
.	O
	
Ọ̀pọ̀lọpọ̀	O
èèyàn	O
àti	O
ẹgbẹ́	O
ajàfómìnira	O
ti	O
sọ̀rọ̀	O
síta	O
láti	O
gbèjà	O
Abubacar	O
tí	O
wọ́n	O
sọ	O
pé	O
mímú	O
tí	O
wọ́n	O
mú	O
un	O
àti	O
àtìmọ́lée	O
rẹ̀	O
ti	O
dẹ́rùba	O
òmìnira	O
ẹni	O
láti	O
sọ̀rọ̀	O
.	O
	
Ìfilọ́lẹ̀	O
Agbéròyìn	O
Sáfẹ́fẹ́	O
ti	O
Gúúsù	O
Ilẹ̀	O
Adúláwò	O
,	O
tí	O
ó	O
ń	O
ṣe	O
àbójútó	O
ẹ̀tọ́	O
agbéròyìn	O
sáfẹ́fẹ́	O
àti	O
iṣẹ́	O
wọn	O
ní	O
agbègbè	O
náà	O
sọ̀rọ̀	O
tako	O
àtìmọ́lé	O
Amade	O
:	O
	
Títì	O
tí	O
àwọn	O
ológun	O
ti	O
Abubacar	O
mọ́lé	O
jẹ́	O
ìpalára	O
fún	O
ẹ̀tọ́	O
rẹ	O
pẹ̀lú	O
mímú	O
tí	O
wọ́n	O
mú	O
un	O
láìsí	O
ìdí	O
tí	O
wọ́n	O
fi	O
ìdí	O
ẹ	O
múlẹ̀	O
.	O
	
Ìjọba	O
Mozambique	B-LOC
ti	O
ń	O
ṣe	O
àfihàn	O
ìṣáájú	O
burúkú	O
nípa	O
ṣíṣe	O
ìdíwọ́	O
ẹ̀tọ́	O
ẹni	O
láti	O
sọ̀rọ̀	O
àti	O
rírí	O
ọ̀nà	O
gbọ́	O
ìròyìn	O
ní	O
agbègbè	O
náà	O
.	O
	
Amnesty	B-ORG
International	I-ORG
náà	O
sọ̀rọ̀	O
:	O
	
Ìtúmọ̀	O
Ìtúnwí-ọ̀rọ̀	O
Ọlọ́rọ̀	O
gan-an	O
	
Amade	O
Abubacar	O
Amade	O
Abubacar	O
jẹ́	O
gbajúgbajà	O
akọ̀ròyìn	O
tí	O
ó	O
ń	O
gba	O
ẹ̀rí	O
sílẹ̀	O
lẹ́nu	O
àwọn	O
ẹni	O
tí	O
wọ́n	O
bọ́	O
nínú	O
ìkọlù	O
ní	O
Cabo	B-LOC
Delgado	B-PER
nígbà	O
tí	O
àwọn	O
ọlọ́pàá	O
mú	O
un	O
.	O
	
Èyí	O
jẹ́	O
àfihàn	O
àìkàsí	O
àwọn	O
aláṣẹ	O
Mozambique	B-LOC
sí	O
òmìnira	O
láti	O
sọ̀rọ̀	O
àti	O
òmìnira	O
àwọn	O
oníròyìn…	O
[	O
àwọn	O
aláṣẹ	O
]	O
rí	O
akọ̀ròyìn	O
gẹ́gẹ́	O
bí	O
alátakò	O
wọn	O
[	O
fún	O
ìdí	O
èyí	O
]	O
wọ́n	O
ń	O
ṣe	O
wọ́n	O
bí	O
