	bbc_url_id	date	news_title	label
0	45996202	29 Oṣù Ọ̀wàrà 2018	Aṣòfin ìpínlẹ̀ Èkìtì tí wọ́n yìnbọn fún ti kú nílé ìwòsàn	nigeria
1	45996200	8 Oṣù Bélú 2018	2019 Election: INEC ya ọ̀sẹ̀ kan sílẹ̀ fún àyẹ̀wò orúkọ oludibo	politics
2	45983380	26 Oṣù Ọ̀wàrà 2018	Fashọla sọ pé ìṣàkóso Awolọwọ nìkan ló ṣee fi wé ti Buhari'	nigeria
3	45963397	25 Oṣù Ọ̀wàrà 2018	Yorùbá dùn lẹ́nu àwọn ọmọ yìí níbi ìdíje ẹgbẹ́ Àtúnbí Yorùbá	politics
4	45963396	24 Oṣù Ọ̀wàrà 2018	Family Planning: Ìjọba Nàìjíríà n fẹ́ kí àtúnṣe wà sí bí àwọn obìnrin ṣe n bímọ	nigeria
5	45957087	24 Oṣù Ọ̀wàrà 2018	Shonekan -Mọ̀lẹ́bí Olórí Nàìjíríà nígbà kan rí ní kokoko lara rẹ̀ ẹ́ le	world
6	45950802	23 Oṣù Ọ̀wàrà 2018	Ìjàmbá ọkọ̀: Ènìyàn mẹ́ta péré ló ye ìjàmbá ọkọ̀ l'Eko	world
7	45950404	31 Oṣù Ọ̀wàrà 2018	NHIS: Ìjọba àpapọ̀ gbé ìgbìmọ̀ ẹlẹ́ni méje kalẹ̀ lórí wàhálà iléeṣẹ́ adójútòfò ìlera	health
8	45945524	22 Oṣù Ọ̀wàrà 2018	Ìdìbò Cameroon: Paul Biya wọlé ipò àarẹ lẹ́ẹ̀keje	africa
9	45935343	26 Oṣù Ọ̀wàrà 2018	NYSC: àgùnbánirọ̀ márùn ún gb'òmìnira lọ́wọ́ ajínigbé	nigeria
10	45929943	21 Oṣù Ọ̀wàrà 2018	Arábìnrin kan rè é tó n ṣa ìdọ̀tí l'étí òkun láti dóòlà ìjàpá inú omi ní Nàìjírià	world
11	45929682	20 Oṣù Ọ̀wàrà 2018	Shehu Sani: Màá kéde ẹgbẹ́ òṣèlú tí mo máa darapọ̀ pẹ̀lú láìpẹ́	politics
12	45925145	20 Oṣù Ọ̀wàrà 2018	Vaginismus: Nígbà tí ara rẹ bá kọ ìbálòpọ̀, kí ló ṣẹlẹ̀?	health
13	45906615	18 Oṣù Ọ̀wàrà 2018	Agbègbè Somolu f'ojú winá ìjà ní ìpínlẹ̀ Èkó	nigeria
14	45900264	19 Oṣù Ọ̀wàrà 2018	Ka nípa ọ̀nà tí agogo inú ara rẹ ń gbà ṣiṣẹ́	health
15	45892758	17 Oṣù Ọ̀wàrà 2018	Ilé aṣòfin àgbà Nàìjíríà dàbí ọjà bí Saraki ṣe pa Akpabio lẹ́nu mọ́	nigeria
16	45888906	17 Oṣù Ọ̀wàrà 2018	Ibori: Ọlọ́pàá òyìnbó tó wádìí mi jẹ́ oníjẹkújẹ	nigeria
17	45873125	16 Oṣù Ọ̀wàrà 2018	Iya Rainbow: Olùtọ̀jú aláìsàn ni kó tó di òsèré	entertainment
18	45873124	16 Oṣù Ọ̀wàrà 2018	Boko Haram: Ẹgbẹ́ BBOG sèwọ́le l‘Abuja tako ìkú Hauwa Leman	nigeria
19	45861139	15 Oṣù Ọ̀wàrà 2018	Travel Ban: Nnkán marun tó yẹ kí o mọ nípa àṣẹ wàá	world
20	45857111	4 Oṣù Bélú 2018	SERAP si Buhari: Pàṣẹ fún amòfin àgbà, EFCC láti ṣèwáàdí Ganduje	politics
21	45857108	28 Oṣù Bélú 2018	Ẹ lọ mú ẹ̀rí ibi tí a ti gba owó wá- NLC/TUC	world
22	45851939	13 Oṣù Ọ̀wàrà 2018	Ìlú Igbo-Ọra: Ijọba ipinlẹ Ọyọ ṣe ayẹyẹ ọdun ibeji fún ìgbà àkọ́kọ́	entertainment
23	45851937	14 Oṣù Ọ̀wàrà 2018	Igbésẹ̀ Buhari láti yọ orúkọ Omisore àti Obanikoro kò bójú mú	politics
24	45848709	13 Oṣù Ọ̀wàrà 2018	Agneroh: Ohun gbogbo tí ẹ bá rí lórí ẹ̀rọ ayélujára kọ́ ni òtítọ́	entertainment
25	45842172	12 Oṣù Ọ̀wàrà 2018	Ìjámbá ọkọ̀: Ẹ̀mí mẹ́rin sọnù sínú ìjámbá ọkọ̀ n'Íbàdàn	nigeria
26	45842171	12 Oṣù Ọ̀wàrà 2018	Jemimah: Wàhálà àwọn òbí mi pọ̀ ló jẹ́ kí n gbé ara mi níyàwó	health
