language;task;method;clean-subset-size;mean-f1;std-error;seeds;f1-values
Hausa;topic;XLM-RoBERTa;10;0.2727863396005709;0.012825876523378814;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.33522645306201243, 0.31045660198807795, 0.29540155226992165, 0.29237720538564754, 0.22420794901756405, 0.21741960171836072, 0.25841413551962755, 0.22844708346739115, 0.24808149859921783, 0.3178313149778884]
Hausa;topic;XLM-RoBERTa;100;0.5136620684231166;0.016110800241327664;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5554271917096779, 0.39558414704203926, 0.47386076259673676, 0.5435568562853127, 0.545584571135211, 0.5883994935965575, 0.4805575078568485, 0.5178696717164062, 0.5221986902927517, 0.5135817919996243]
Hausa;topic;XLM-RoBERTa;300;0.726274147852202;0.006070552147024829;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6915741619601236, 0.7673605591131365, 0.7191060037631057, 0.7200800575114059, 0.7258970770626434, 0.7271682191898661, 0.7131009491833925, 0.7166111046813886, 0.7426936748518753, 0.7391496712050836]
Hausa;topic;XLM-RoBERTa;500;0.8123079738335361;0.006314540583511325;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8147577758341173, 0.8391033046670541, 0.824075202187668, 0.8106868868398149, 0.8104008479212799, 0.8128370225126037, 0.8285197684312368, 0.794224153349756, 0.8248592711178401, 0.7636155054739909]
Hausa;topic;XLM-RoBERTa;700;0.8146647258929299;0.004569517045945497;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8170466674829361, 0.8327036700356542, 0.8013761538911287, 0.8217560950754358, 0.8276519904490032, 0.8280178554823778, 0.8082340398591785, 0.7837852488212179, 0.8034739602217091, 0.8226015776106578]
Hausa;topic;XLM-RoBERTa;900;0.830470987992627;0.002975605332253397;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8263893824159447, 0.8294789833887278, 0.8353469357363009, 0.8305277477534986, 0.8471704838672149, 0.8336280236393927, 0.8167519937025388, 0.8331775734276099, 0.8134356959737834, 0.8388030600212578]
Hausa;topic;XLM-RoBERTa;2044;0.8628648448704833;0.002820556350935052;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8621242903265416, 0.8812397442782905, 0.8635523211311544, 0.8605634195399187, 0.85476495008867, 0.869759887705536, 0.8597435989374684, 0.8565522006140445, 0.871886759363278, 0.8484612767199312]
Hausa;topic;XLM-RoBERTa full-dev-set;10;0.32679212038668054;0.0111254286120945;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.3531712524548581, 0.33870895622392594, 0.3538389181532947, 0.2878344132247882, 0.3221312963051848, 0.3275961004292886, 0.3395356890064268, 0.23951122989171933, 0.34457418358293, 0.36101916459438915]
Hausa;topic;XLM-RoBERTa full-dev-set;100;0.5568404520462574;0.006101227089718695;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.573271771687467, 0.5778158831500478, 0.5425142516596144, 0.5415924628094332, 0.580092066337798, 0.5585213223070581, 0.5294223789425595, 0.5693123776915654, 0.569900071088767, 0.5259619347882639]
Hausa;topic;XLM-RoBERTa full-dev-set;300;0.7446890061447522;0.008020140626104774;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7156914740315615, 0.7840493528095418, 0.7676737696675031, 0.7107481772842901, 0.780448100401753, 0.7485671168047211, 0.7242153640675515, 0.7523329887853029, 0.7426936748518753, 0.7204700427434214]
